"state","date","total_schools","area_km2"
"Johor","2017-01-01",1185,19166
"Johor","2018-01-01",1189,19166
"Johor","2019-01-01",1191,19166
"Johor","2020-01-01",1191,19166
"Johor","2021-01-01",1192,19166
"Johor","2022-01-01",1194,19166
"Kedah","2017-01-01",748,9426
"Kedah","2018-01-01",749,9426
"Kedah","2019-01-01",750,9426
"Kedah","2020-01-01",751,9426
"Kedah","2021-01-01",752,9426
"Kedah","2022-01-01",753,9426
"Kelantan","2017-01-01",594,15099
"Kelantan","2018-01-01",596,15099
"Kelantan","2019-01-01",596,15099
"Kelantan","2020-01-01",596,15099
"Kelantan","2021-01-01",597,15099
"Kelantan","2022-01-01",597,15099
"Kuala Lumpur","2017-01-01",306,243
"Kuala Lumpur","2018-01-01",300,243
"Kuala Lumpur","2019-01-01",297,243
"Kuala Lumpur","2020-01-01",297,243
"Kuala Lumpur","2021-01-01",296,243
"Kuala Lumpur","2022-01-01",294,243
"Labuan","2017-01-01",27,92
"Labuan","2018-01-01",27,92
"Labuan","2019-01-01",27,92
"Labuan","2020-01-01",27,92
"Labuan","2021-01-01",27,92
"Labuan","2022-01-01",28,92
"Melaka","2017-01-01",315,1664
"Melaka","2018-01-01",315,1664
"Melaka","2019-01-01",316,1664
"Melaka","2020-01-01",316,1664
"Melaka","2021-01-01",316,1664
"Melaka","2022-01-01",317,1664
"Negeri Sembilan","2017-01-01",476,6686
"Negeri Sembilan","2018-01-01",476,6686
"Negeri Sembilan","2019-01-01",476,6686
"Negeri Sembilan","2020-01-01",478,6686
"Negeri Sembilan","2021-01-01",478,6686
"Negeri Sembilan","2022-01-01",480,6686
"Pahang","2017-01-01",738,35965
"Pahang","2018-01-01",739,35965
"Pahang","2019-01-01",741,35965
"Pahang","2020-01-01",742,35965
"Pahang","2021-01-01",742,35965
"Pahang","2022-01-01",742,35965
"Perak","2017-01-01",1101,21035
"Perak","2018-01-01",1103,21035
"Perak","2019-01-01",1103,21035
"Perak","2020-01-01",1103,21035
"Perak","2021-01-01",1103,21035
"Perak","2022-01-01",1106,21035
"Perlis","2017-01-01",105,821
"Perlis","2018-01-01",105,821
"Perlis","2019-01-01",105,821
"Perlis","2020-01-01",105,821
"Perlis","2021-01-01",105,821
"Perlis","2022-01-01",105,821
"Pulau Pinang","2017-01-01",399,1048
"Pulau Pinang","2018-01-01",400,1048
"Pulau Pinang","2019-01-01",400,1048
"Pulau Pinang","2020-01-01",400,1048
"Pulau Pinang","2021-01-01",401,1048
"Pulau Pinang","2022-01-01",399,1048
"Putrajaya","2017-01-01",25,49
"Putrajaya","2018-01-01",25,49
"Putrajaya","2019-01-01",25,49
"Putrajaya","2020-01-01",27,49
"Putrajaya","2021-01-01",27,49
"Putrajaya","2022-01-01",27,49
"Sabah","2017-01-01",1294,73631
"Sabah","2018-01-01",1297,73631
"Sabah","2019-01-01",1297,73631
"Sabah","2020-01-01",1298,73631
"Sabah","2021-01-01",1297,73631
"Sabah","2022-01-01",1297,73631
"Sarawak","2017-01-01",1455,124450
"Sarawak","2018-01-01",1458,124450
"Sarawak","2019-01-01",1459,124450
"Sarawak","2020-01-01",1459,124450
"Sarawak","2021-01-01",1459,124450
"Sarawak","2022-01-01",1459,124450
"Selangor","2017-01-01",940,8104
"Selangor","2018-01-01",943,8104
"Selangor","2019-01-01",943,8104
"Selangor","2020-01-01",944,8104
"Selangor","2021-01-01",945,8104
"Selangor","2022-01-01",944,8104
"Terengganu","2017-01-01",504,13035
"Terengganu","2018-01-01",505,13035
"Terengganu","2019-01-01",506,13035
"Terengganu","2020-01-01",506,13035
"Terengganu","2021-01-01",507,13035
"Terengganu","2022-01-01",508,13035
